batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
828,"18:57:25",7.082,-14.067,-3.095,-12.037,-2.219,8.741,3.295,13.438,5.612,7.151
562,"18:57:25",-8.548,1.835,-1.566,1.214,10.861,12.017,5.145,10.504,14.399,-13.190
23,"18:57:25",5.248,-3.816,12.887,7.612,7.713,-13.021,10.180,2.036,10.196,9.988
443,"18:57:25",11.789,2.014,-1.308,-14.815,5.169,5.010,-8.890,13.663,-2.088,2.385
434,"18:57:25",12.428,-5.738,6.838,-8.875,-14.760,-8.209,-4.851,-5.164,2.662,-1.438
627,"18:57:25",4.392,-11.147,2.756,0.416,-8.484,-5.720,1.807,-6.060,-5.939,2.941
163,"18:57:25",13.740,-0.127,8.499,-9.369,-7.912,5.433,14.092,-3.928,-7.787,-1.301
432,"18:57:25",9.996,4.719,6.675,5.680,13.969,-1.845,10.172,4.263,-8.183,-4.564
470,"18:57:25",-5.255,3.680,14.933,11.031,2.409,-7.045,-8.323,-3.756,-12.607,7.176
134,"18:57:25",-9.048,-0.427,-8.890,1.107,-13.390,-6.171,0.593,13.527,14.698,2.410
169,"18:57:25",4.399,-3.568,9.636,-2.245,-14.789,-9.125,-0.167,-1.614,-9.505,-9.378
967,"18:57:25",2.404,12.092,-11.884,3.368,-0.091,-4.051,-8.597,9.454,-3.109,-2.340
236,"18:57:25",-11.202,14.705,-4.710,7.936,4.887,-7.158,0.437,6.661,9.057,-6.591
458,"18:57:25",2.113,-9.635,-8.996,-4.270,3.314,6.079,-5.571,-1.246,0.901,3.743
411,"18:57:25",9.164,14.148,10.583,14.633,0.261,9.893,-1.825,0.021,10.763,-12.022
900,"18:57:25",4.657,13.939,-14.635,13.078,-8.759,-3.577,-2.796,-11.047,0.631,-11.745
102,"18:57:25",-2.766,-0.847,12.622,4.114,-10.563,6.108,-10.431,13.879,14.864,-8.914
511,"18:57:25",4.139,6.837,14.314,11.588,-1.645,3.740,7.928,-12.620,-12.466,13.653
947,"18:57:25",-1.618,-4.416,12.089,4.329,11.246,-13.409,12.814,-2.832,-4.601,13.554
438,"18:57:25",8.102,10.828,0.299,-2.172,-4.558,-12.755,3.603,13.541,7.736,8.718
593,"18:57:25",4.625,7.475,-1.783,14.678,-13.346,-0.653,-2.411,-1.648,4.204,13.624
386,"18:57:25",2.102,-12.393,-5.197,9.903,5.455,13.805,13.360,13.639,4.949,-6.879
438,"18:57:25",9.081,1.505,-0.298,-1.197,-9.294,-4.619,1.003,-14.327,-2.203,-10.367
443,"18:57:25",-13.713,-14.661,-8.229,-8.451,7.163,-9.902,-1.061,-5.122,-13.698,8.775
647,"18:57:25",-5.650,5.522,8.335,3.492,-3.965,-12.066,-8.557,11.340,-6.011,1.271
672,"18:57:25",-8.616,-7.801,-6.919,-1.218,0.977,6.434,9.300,3.357,-4.335,-5.430
408,"18:57:25",0.701,2.790,-14.400,-8.483,5.200,-14.479,7.469,-7.135,9.254,-13.582
381,"18:57:25",-3.656,-4.935,-6.907,-3.817,-14.209,11.161,7.623,-10.463,-8.058,-0.440
114,"18:57:25",14.318,8.658,6.423,12.364,10.165,6.671,-10.321,-13.810,-3.536,11.061
685,"18:57:25",-0.947,-7.242,12.206,-13.467,-2.639,-6.892,-3.860,-8.454,-3.660,-10.888
852,"18:57:25",8.556,-6.693,-9.525,2.557,-14.175,12.184,9.218,-6.897,1.970,-14.352
100,"18:57:25",3.324,-6.382,1.153,14.435,14.966,-11.055,-8.749,3.247,-8.134,0.076
265,"18:57:25",-6.022,-10.739,-2.939,0.685,-14.919,2.145,11.794,-10.334,-14.727,-9.489
901,"18:57:25",12.842,6.845,6.373,10.109,-8.564,8.548,-6.163,-13.431,6.639,-2.321
7,"18:57:25",12.694,0.656,-10.022,8.067,-3.763,4.426,11.506,2.727,0.652,-4.876
36,"18:57:25",4.607,1.029,-5.112,-0.661,13.062,-11.289,0.239,-11.091,-9.579,-14.355
671,"18:57:25",5.395,-0.435,11.940,-11.836,-8.535,-6.533,5.582,-1.932,8.690,-10.525
813,"18:57:25",12.229,-11.346,13.601,-2.918,-1.162,-9.203,-3.135,-9.521,0.337,-2.399
77,"18:57:25",12.440,1.259,-4.375,4.072,4.300,2.896,-12.206,-9.730,-3.327,13.453
376,"18:57:25",5.685,-4.247,9.416,13.045,-6.156,-14.543,3.702,4.745,-2.603,11.185
257,"18:57:25",6.977,-5.573,-12.324,10.304,8.658,10.029,-9.797,-12.423,0.230,3.825
484,"18:57:25",5.502,8.183,11.380,3.832,5.984,7.702,-11.167,3.510,-9.037,-3.261
833,"18:57:25",14.760,-3.264,2.250,5.234,-0.357,5.022,-1.918,-10.413,8.743,-8.601
127,"18:57:25",10.877,-12.175,-11.653,1.455,-8.596,-6.808,7.689,9.353,-7.385,-10.896
86,"18:57:25",-3.611,3.022,9.278,-7.599,13.025,-3.184,-9.325,4.876,-12.571,-3.436
19,"18:57:25",13.592,-12.344,14.281,-8.676,3.307,-4.788,13.278,-6.565,-5.146,7.240
643,"18:57:25",10.289,-4.759,2.217,-2.722,-0.219,-3.238,-10.491,4.751,5.958,-5.072
177,"18:57:25",11.604,-5.716,-13.074,-6.525,13.275,2.414,10.419,-9.148,13.187,-11.222
340,"18:57:25",14.597,12.120,-3.418,10.952,-3.724,-3.162,2.792,0.131,10.924,-1.187
815,"18:57:25",-5.594,-4.007,-9.688,-5.150,5.472,-11.640,-5.500,0.983,14.544,-5.846
363,"18:57:25",7.141,14.855,-8.070,-3.047,-2.718,-9.146,-9.744,7.612,13.307,5.820
582,"18:57:25",2.289,-2.557,2.354,-6.640,7.848,14.296,-0.116,-9.836,-7.896,1.077
829,"18:57:25",-14.572,10.787,0.561,2.477,-11.620,1.743,7.828,1.065,2.505,13.733
629,"18:57:25",-1.481,7.914,-11.241,5.409,-0.966,-10.346,2.200,-14.019,-0.950,12.717
802,"18:57:25",-7.247,-7.825,-8.041,-2.426,5.490,-6.665,14.819,0.102,-4.153,-8.430
788,"18:57:25",-10.630,-3.972,2.387,9.529,-12.559,10.546,13.742,-14.027,-8.998,0.637
194,"18:57:25",-6.431,4.662,-11.830,1.129,-3.352,4.163,-14.850,6.416,10.360,-13.737
678,"18:57:25",-7.744,-6.645,-4.652,-1.403,-2.522,0.617,-8.630,-14.416,-13.720,5.851
221,"18:57:25",14.739,7.145,4.043,-10.783,9.509,6.088,-13.458,-7.666,-11.679,2.551
365,"18:57:25",-9.141,-1.419,3.477,-0.397,2.123,0.811,-2.186,5.162,4.611,8.847
774,"18:57:25",11.745,13.619,9.694,-11.389,13.893,13.830,14.223,2.638,5.117,-14.253
788,"18:57:25",13.838,-0.285,-9.158,-10.550,-2.165,11.845,-0.816,-6.569,-12.738,-6.351
720,"18:57:25",5.705,-4.215,-10.815,6.227,-8.744,14.955,3.134,7.195,-1.612,0.757
943,"18:57:25",4.884,-2.679,-5.747,11.823,8.405,-13.105,-1.991,4.573,13.315,-3.141
107,"18:57:25",9.236,2.193,14.552,1.478,7.917,-1.755,-3.970,9.820,0.969,-13.699
728,"18:57:25",-9.333,-12.599,4.871,-7.262,-5.588,-14.549,-7.766,6.188,1.688,-6.004
569,"18:57:25",-7.440,-9.979,-11.253,-14.398,6.333,-12.186,-9.686,-7.673,-11.287,-4.529
794,"18:57:25",-9.708,4.961,7.930,2.685,-4.091,11.116,-13.673,8.397,1.220,-7.603
87,"18:57:25",1.438,-11.964,-12.057,-13.405,12.486,3.178,-14.630,14.068,8.306,-0.200
646,"18:57:25",-11.188,9.135,13.267,-3.616,-12.091,-2.444,-10.297,1.302,3.598,13.766
298,"18:57:25",-1.726,8.400,-7.475,-8.843,-11.229,10.452,11.343,-8.903,-5.112,-12.907
311,"18:57:25",1.554,-0.173,-6.712,7.684,-12.551,-14.077,8.786,9.173,10.574,-9.274
